NOMEDEP,DE,DISTR,MUN,TIPOESC,COD_ESC,NOMESC,DS_PAIS, Nº ALUNOS ,DS_PAIS2,Qntd de Alunos,NOMESC3,Qntd por nacionalidade
ESTADUAL - SE,ADAMANTINA,ADAMANTINA,ADAMANTINA,8,30806,HELEN KELLER,Venezuela,6,Venezuela,3751,HELEN KELLER,1
ESTADUAL - SE,ADAMANTINA,ADAMANTINA,ADAMANTINA,8,31112,FLEURIDES CAVALLINI MENECHINO PROFA,Japão,1,Bolívia,2244,FLEURIDES CAVALLINI MENECHINO PROFA,2
ESTADUAL - SE,ADAMANTINA,ADAMANTINA,ADAMANTINA,8,31112,FLEURIDES CAVALLINI MENECHINO PROFA,Venezuela,4,Haiti,1389,IDENE RODRIGUES DOS SANTOS PROF,1
ESTADUAL - SE,ADAMANTINA,JUNQUEIROPOLIS,JUNQUEIROPOLIS,8,31525,IDENE RODRIGUES DOS SANTOS PROF,Japão,1,Paraguai,841,PROFESSOR CARLOS UMBERTO CARRARA,2
ESTADUAL - SE,ADAMANTINA,LUCELIA,LUCELIA,8,578915,PROFESSOR CARLOS UMBERTO CARRARA,Japão,1,Angola,908,JACINTO PERNAS GOMATO,1
ESTADUAL - SE,ADAMANTINA,LUCELIA,LUCELIA,8,578915,PROFESSOR CARLOS UMBERTO CARRARA,Malta,1,Argentina,897,BENJAMIN CONSTANT,1
ESTADUAL - SE,ADAMANTINA,NOVA GUATAPORANGA,NOVA GUATAPORANGA,8,31422,JACINTO PERNAS GOMATO,Japão,1,Japão,754,OSVALDO MARTINS,1
ESTADUAL - SE,ADAMANTINA,OSVALDO CRUZ,OSVALDO CRUZ,8,31574,BENJAMIN CONSTANT,Venezuela,2,Colômbia,646,DOM BOSCO,2
ESTADUAL - SE,ADAMANTINA,OSVALDO CRUZ,OSVALDO CRUZ,8,31616,OSVALDO MARTINS,Venezuela,1,Peru,750,MARIA APARECIDA LOPES PROFA,1
ESTADUAL - SE,ADAMANTINA,OSVALDO CRUZ,OSVALDO CRUZ,8,31636,DOM BOSCO,Tanzânia,2,Cuba,324,FERDINANDO IENNY,1
ESTADUAL - SE,ADAMANTINA,OSVALDO CRUZ,OSVALDO CRUZ,8,31636,DOM BOSCO,Venezuela,2,Portugal,199,CEEJA ALDA MARANGONI FRANCA PROFA,4
ESTADUAL - SE,ADAMANTINA,OSVALDO CRUZ,OSVALDO CRUZ,8,922584,MARIA APARECIDA LOPES PROFA,Venezuela,2,Chile,151,LUIZ HIPOLITO PROFESSOR,1
ESTADUAL - SE,ADAMANTINA,OURO VERDE,OURO VERDE,8,31446,FERDINANDO IENNY,Angola,2,Espanha,149,OCTAVIO SOARES DE ARRUDA PROF,1
ESTADUAL - SE,AMERICANA,AMERICANA,AMERICANA,3,980055,CEEJA ALDA MARANGONI FRANCA PROFA,Bolívia,2,Síria,208,RISOLETA LOPES ARANHA PROFESSORA,2
ESTADUAL - SE,AMERICANA,AMERICANA,AMERICANA,3,980055,CEEJA ALDA MARANGONI FRANCA PROFA,Haiti,46,Equador,153,SILVINO JOSE DE OLIVEIRA PROF,3
ESTADUAL - SE,AMERICANA,AMERICANA,AMERICANA,3,980055,CEEJA ALDA MARANGONI FRANCA PROFA,Japão,1,Nigéria,148,SAO VICENTE DE PAULO,3
ESTADUAL - SE,AMERICANA,AMERICANA,AMERICANA,3,980055,CEEJA ALDA MARANGONI FRANCA PROFA,Paraguai,2,Marrocos,39,ALCINDO SOARES DO NASCIMENTO PROF,2
ESTADUAL - SE,AMERICANA,AMERICANA,AMERICANA,8,11873,LUIZ HIPOLITO PROFESSOR,Bolívia,1,Guiné-Conacri,183,MARIA JOSE DE MATTOS GOBBO PROFA,3
ESTADUAL - SE,AMERICANA,AMERICANA,AMERICANA,8,16949,OCTAVIO SOARES DE ARRUDA PROF,Alemanha,1,"Congo, República Democrática do (antigo Zaire)",129,MARIO PATARRA FRATTINI PROF,4
ESTADUAL - SE,AMERICANA,AMERICANA,AMERICANA,8,16950,RISOLETA LOPES ARANHA PROFESSORA,Bolívia,1,Guiné-Bissau,119,MAURA ARRUDA GUIDOLIN PROFA,2
ESTADUAL - SE,AMERICANA,AMERICANA,AMERICANA,8,16950,RISOLETA LOPES ARANHA PROFESSORA,Haiti,1,China,75,JOAO DE CASTRO GONCALVES DR,1
ESTADUAL - SE,AMERICANA,AMERICANA,AMERICANA,8,16962,SILVINO JOSE DE OLIVEIRA PROF,Bolívia,3,Afeganistão,161,MAGI MONSENHOR,4
ESTADUAL - SE,AMERICANA,AMERICANA,AMERICANA,8,16962,SILVINO JOSE DE OLIVEIRA PROF,Haiti,1,"Dominicana, República",78,ARY MENEGATTO PROF,4
ESTADUAL - SE,AMERICANA,AMERICANA,AMERICANA,8,16962,SILVINO JOSE DE OLIVEIRA PROF,Venezuela,2,Estados Unidos da América,125,DELMIRA DE OLIVEIRA LOPES PROFA,1
